"Package","Version","CRANRelease","SnapshotFirstDate","SnapshotLastDate","Depends","Imports","License","Suggests"
"compareGroups","2.0.4","2014-05-02 18:42:26","2014-05-06","2014-08-29","R (>= 2.13.1), Hmisc, xtable, gdata, SNPassoc","survival, epitools, tools, HardyWeinberg","GPL (>= 2)","tcltk2, car"
"compareGroups","2.0.5","2014-08-28 19:56:27","2014-08-30","2015-01-26","R (>= 2.13.1), Hmisc, xtable, gdata, SNPassoc","survival, epitools, tools, HardyWeinberg","GPL (>= 2)","tcltk2, car"
"compareGroups","3.0","2015-01-23 12:38:09","2015-01-27","2015-04-20","R (>= 2.13.1), Hmisc, gdata, xtable, SNPassoc","survival, epitools, tools, HardyWeinberg","GPL (>= 2)","tcltk2, car, XLConnect, shiny"
"compareODM","1.2","2013-05-27 18:48:46","2013-09-03","2015-04-20","R (>= 2.15.0), XML",,"GPL",
"comparison","1.0-2","2013-06-11 14:21:30","2013-09-03","2013-11-06","isotone, methods",,"GPL-2",
"comparison","1.0-4","2013-11-05 15:52:34","2013-11-07","2015-04-20",,"isotone, methods","GPL-2",
"compeir","1.0","2011-03-09 16:36:04","2013-09-03","2015-04-20","grid, lattice, etm",,"GPL-2",
"compendiumdb","0.1.0","2014-08-29 19:20:53","2014-09-02","2015-04-17","Biobase, RMySQL",,"GPL (>= 2)","inSilicoDb, limma, hgu133a.db, GSVA, GSVAdata"
"compendiumdb","1.0.0","2015-04-16 19:53:40","2015-04-18","2015-04-20","Biobase, GEOquery, RMySQL",,"GPL (>= 2)","inSilicoDb, genefilter, gplots, GSVA, limma, mogene10sttranscriptcluster.db, RColorBrewer"
"complex.surv.dat.sim","2.0.0","2013-08-14 17:59:31","2013-09-03","2014-12-08","R (>= 2.13.1), eha, statmod",,"GPL (>= 2)",
"complmrob","0.5.4","2014-08-13 14:40:00","2014-08-16","2014-08-18",,"robustbase, ggplot2, boot, parallel, scales","GPL (>= 2)",
"complmrob","0.5.5","2014-08-17 09:12:59","2014-08-19","2014-12-05",,"robustbase, ggplot2, boot, parallel, scales","GPL (>= 2)",
"complmrob","0.5.6","2014-12-03 14:52:54","2014-12-06","2014-12-10",,"robustbase, ggplot2, boot, parallel, scales","GPL (>= 2)",
"complmrob","0.5.8","2014-12-09 22:23:55","2014-12-11","2015-04-20",,"robustbase, ggplot2, boot, parallel, scales","GPL (>= 2)",
"compoisson","0.3","2012-10-29 08:58:27","2013-09-03","2015-04-20","stats, MASS",,"BSD",
"compositions","1.30-1","2013-04-12 16:24:11","2013-09-03","2013-12-30","R (>= 2.2.0), rgl, tensorA, robustbase, energy",,"GPL (>= 2)",""
"compositions","1.30-2","2013-12-29 08:39:52","2013-12-31","2014-03-10","R (>= 2.2.0), tensorA","energy, rgl, robustbase","GPL (>= 2)",
"compositions","1.40-0","2014-04-14 18:36:35","2014-04-17","2014-05-02","R (>= 2.2.0), tensorA, robustbase, energy, bayesm",,"GPL (>= 2)","rgl"
"compositions","1.40-1","2014-06-07 21:11:09","2014-06-10","2015-04-20","R (>= 2.2.0), tensorA, robustbase, energy, bayesm",,"GPL (>= 2)","rgl"
"compositionsGUI","1.0","2013-05-24 12:34:42","2013-09-03","2014-03-10","robCompositions, compositions, mvoutlier, robustbase, RGtk2, MASS, nnet, boot",,"GPL (>= 2)",
"compound.Cox","1.2","2012-11-10 10:40:29","2013-09-03","2013-11-11","numDeriv",,"GPL-2",
"compound.Cox","1.3","2013-11-08 07:08:46","2013-11-12","2014-04-14","numDeriv",,"GPL-2",
"compound.Cox","1.4","2014-04-13 19:51:05","2014-04-15","2015-04-20","numDeriv, survival",,"GPL-2",
"compute.es","0.2-2","2013-10-19 19:39:32","2013-10-22","2014-01-20","R (>= 2.10.1)",,"GPL-2",
"compute.es","0.2-3","2014-01-17 06:10:46","2014-01-21","2014-09-17","R (>= 2.10.1)",,"GPL-2",
"compute.es","0.2-4","2014-09-16 23:35:44","2014-09-18","2015-04-20","R (>= 2.10.1)",,"GPL-2",
"compute.es","0.2.1","2012-01-09 12:54:22","2013-09-03","2013-10-21","R (>= 2.10.1)",,"GPL-2",
"concor","1.0-0.1","2012-10-29 08:58:27","2013-09-03","2015-04-20","R (>= 0.99)",,"GPL",
"concreg","0.5","2013-04-05 16:26:45","2013-09-03","2015-04-20","R (>= 2.15.1), survival",,"GPL",
"cond","1.2-2","2014-04-03 14:00:47","2014-04-05","2014-06-30","R (>= 3.0.0), statmod, survival",,"GPL (>= 2) | file LICENCE","boot, csampling, marg, nlreg"
"cond","1.2-3","2014-06-27 18:40:37","2014-07-01","2015-04-20","R (>= 3.0.0), statmod, survival",,"GPL (>= 2) | file LICENCE","boot, csampling, marg, nlreg"
"condGEE","0.1-4","2013-08-17 19:31:05","2013-09-03","2015-04-20",,"numDeriv, rootSolve","GPL (>= 2)",
"condMVNorm","2015.2-1","2015-02-11 19:55:25","2015-02-14","2015-04-20","R(>= 1.9.0), mvtnorm","stats","GPL-2",
"condmixt","1.0","2012-05-01 17:17:02","2013-09-03","2015-04-20","evd",,"GPL-2",
"coneproj","1.0","2013-07-15 18:54:36","2013-09-03","2013-09-11","RcppArmadillo(>= 0.3.800.1), Rcpp(>= 0.10.3), R(>= 2.15.2)",,"GPL (>= 2)","stats, graphics, grDevices, utils"
"coneproj","1.1","2013-09-09 19:59:05","2013-09-12","2013-10-25","RcppArmadillo(>= 0.3.800.1), Rcpp(>= 0.10.3), R(>= 2.15.2)",,"GPL (>= 2)","stats, graphics, grDevices, utils"
"coneproj","1.2","2013-10-23 17:28:34","2013-10-26","2014-03-19","RcppArmadillo(>= 0.3.800.1), Rcpp(>= 0.10.3), R(>= 2.15.2)",,"GPL (>= 2)","stats, graphics, grDevices, utils"
"coneproj","1.3","2014-03-18 19:12:15","2014-03-20","2014-04-28","R(>= 3.0.2)","Rcpp (>= 0.10.4)","GPL (>= 2)","stats, graphics, grDevices, utils"
"coneproj","1.4","2014-04-26 07:09:24","2014-04-29","2014-11-17","R(>= 3.0.2)","Rcpp (>= 0.10.4)","GPL (>= 2)","stats, graphics, grDevices, utils"
"coneproj","1.5","2014-11-16 22:12:16","2014-11-18","2015-04-20","R(>= 3.0.2)","Rcpp (>= 0.10.4)","GPL (>= 2)","stats, graphics, grDevices, utils"
"conf.design","2.0.0","2013-02-23 15:18:30","2013-09-03","2015-04-20",,,"GPL-2","stats, utils"
"confReg","0.1.3","2011-07-05 15:11:07","2013-09-03","2014-08-25","methods, e1071","graphics, stats","GPL (>= 2)",
"confidence","1.0-0","2014-09-19 14:57:33","2014-09-23","2014-11-03","R (>= 3.0.0), tcltk","knitr, markdown, plyr, xtable, ggplot2","GPL (>= 3)","testthat"
"confidence","1.1-0","2014-10-22 23:03:16","2014-11-04","2015-04-20","R (>= 3.0.0), tcltk","knitr, markdown, plyr, xtable, ggplot2","GPL (>= 3)","testthat"
"conformal","0.1","2015-01-21 07:19:35","2015-01-24","2015-04-20","R (>= 2.12.0), caret, ggplot2, grid, randomForest, e1071, methods",,"GPL","kernlab"
"confreq","1.0","2013-12-24 07:43:31","2013-12-26","2014-04-09","R (>= 2.10.1), stats",,"GPL-3",
"confreq","1.1","2014-04-07 17:08:20","2014-04-10","2014-11-06","R (>= 2.10.1), stats",,"GPL-3",
"confreq","1.3","2014-11-06 12:27:43","2014-11-10","2015-04-20","R (>= 2.10.1), stats, gmp",,"GPL-3",
"conicfit","1.0.0","2014-03-07 11:58:47","2014-03-11","2014-12-08","R (>= 2.7.0), pracma, geigen",,"GPL (>= 3)",
"conics","0.2","2012-10-27 09:54:53","2013-09-03","2013-12-11","graphics","graphics","GPL (>= 2)",
"conics","0.3","2013-12-10 22:01:31","2013-12-12","2015-04-20",,"graphics","GPL (>= 2)",
"conjoint","1.39","2013-08-15 07:02:06","2013-09-03","2015-04-20",,"AlgDesign, clusterSim","GPL (>= 2)",
"constrainedKriging","0.2.1","2013-06-21 08:13:29","2013-09-03","2013-10-04","R (>= 2.9.0), sp(>= 0.9-60), spatialCovariance(>= 0.6-4), methods","rgeos(>= 0.2-17), RandomFields(>= 1.3.41),","GPL (>= 2)","spdep(>= 0.5-43)"
"constrainedKriging","0.2.2","2013-10-02 12:05:54","2013-10-05","2014-05-28","R (>= 2.9.0), sp(>= 0.9-60), spatialCovariance(>= 0.6-4), methods","rgeos(>= 0.2-17), RandomFields(>= 1.3.41),","GPL (>= 2)","spdep(>= 0.5-43)"
"constrainedKriging","0.2.3","2014-05-26 16:06:12","2014-05-29","2015-04-20","R (>= 2.9.0), sp(>= 0.9-60), spatialCovariance(>= 0.6-4), methods","rgeos(>= 0.2-17), RandomFields(>= 1.3.41),","GPL (>= 2)","spdep(>= 0.5-43)"
"contfrac","1.1-9","2013-01-21 12:29:34","2013-09-03","2015-04-20",,,"GPL-2",
"conting","1.1","2013-08-13 14:14:15","2013-09-03","2014-05-23","R (>= 2.15.0), mvtnorm, BMS, gregmisc, tseries, coda",,"GPL-2",
"conting","1.2","2014-05-19 11:18:34","2014-05-24","2014-06-13","R (>= 2.15.0)","mvtnorm, BMS, gtools, tseries, coda","GPL-2",
"conting","1.3","2014-06-11 11:57:58","2014-06-14","2014-12-05","R (>= 2.15.0)","mvtnorm, BMS, gtools, tseries, coda","GPL-2",
"conting","1.4","2014-12-03 13:47:22","2014-12-06","2015-03-18","R (>= 2.15.0)","mvtnorm, BMS, gtools, tseries, coda","GPL-2",
"conting","1.5","2015-03-17 20:59:55","2015-03-19","2015-04-20","R (>= 2.15.0)","mvtnorm, BMS, gtools, tseries, coda","GPL-2",
"contrast","0.18","2013-05-24 20:50:15","2013-09-03","2013-11-18","R (>= 2.2.1), rms",,"GPL-2","lattice, nlme, Hmisc, geepack, MASS, sandwich"
"contrast","0.19","2013-11-16 06:37:05","2013-11-19","2015-04-20","R (>= 2.2.1), rms",,"GPL-2","lattice, nlme, Hmisc, geepack, MASS, sandwich"
"convevol","0.1","2013-08-27 16:29:33","2013-09-03","2013-11-18","R (>= 3.0.1), ape, phytools, cluster, geiger",,"GPL-2",
"convevol","0.1-1","2013-11-15 07:50:25","2013-11-19","2014-03-03","R (>= 3.0.1), phytools, cluster","MASS, geiger","GPL-2",
"convevol","1.0","2014-12-22 05:00:29","2014-12-23","2015-04-20","R (>= 3.1.2), ape, geiger, MASS, phytools","cluster","GPL-2",
"convexHaz","0.2","2009-01-29 19:36:09","2013-09-03","2015-01-16","R (>= 2.4)",,"GPL (>= 2)",
"cooccur","1.0","2014-03-09 16:43:51","2014-03-11","2014-05-07","reshape, gmp, ggplot2",,"GPL-2",
"cooccur","1.1","2014-05-06 15:10:57","2014-05-08","2014-11-19",,"reshape2, gmp, ggplot2","GPL-2",
"cooccur","1.2","2014-11-18 11:28:26","2014-11-20","2015-04-20",,"reshape2, gmp, ggplot2","GPL-2",
"cooptrees","1.0","2014-09-04 19:13:25","2014-09-06","2015-04-20","R (>= 2.7.0), igraph (>= 0.7.1), optrees (>= 1.0)","gtools","GPL-3",
"copBasic","1.5.4","2013-05-10 18:40:09","2013-09-03","2014-09-29","R (>= 2.10), lmomco",,"GPL",
"copBasic","1.6.0","2014-09-26 16:53:16","2014-09-30","2015-01-05","R (>= 2.10)","lmomco","GPL-2",
"copBasic","1.7.0","2015-01-03 06:58:57","2015-01-06","2015-02-02","R (>= 2.10)","lmomco","GPL-2",
"copBasic","1.7.1","2015-01-30 17:49:30","2015-02-03","2015-04-20","R (>= 2.10)","lmomco","GPL-2",
"copCAR","1.0","2014-09-07 08:33:12","2014-09-09","2015-04-17","numDeriv, Rcpp, spam",,"GPL (>= 2)","lattice"
"copCAR","1.0-1","2015-04-16 08:44:41","2015-04-18","2015-04-20","numDeriv, Rcpp, spam",,"GPL (>= 2)","lattice"
"copas","0.7-0","2013-06-04 11:26:20","2013-09-03","2014-03-24","meta (>= 0.8)",,"GPL (>= 2)",
"copas","0.8-0","2014-03-21 11:38:31","2014-03-25","2014-06-25","meta (>= 0.8)",,"GPL (>= 2)",
"cope","0.1","2015-01-27 08:09:33","2015-01-29","2015-04-20","maps (>= 2.3-7)","fields (>= 7.1), MASS (>= 7.3-34), mvtnorm (>= 1.0-0)","GPL-2",
"copula","0.999-10","2014-06-19 09:30:49","2014-06-21","2014-09-08","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","lattice, MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, rugarch, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-11","2014-09-05 17:54:51","2014-09-09","2014-10-03","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, lattice, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, partitions, polynom, rugarch, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-12","2014-10-02 16:00:26","2014-10-04","2015-03-06","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, lattice, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, partitions, polynom, rugarch, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-13","2015-03-05 22:13:29","2015-03-07","2015-04-20","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, lattice, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","MASS, KernSmooth, sfsmisc, scatterplot3d, Rmpfr, bbmle, partitions, polynom, rugarch, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-7","2013-05-21 14:59:29","2013-09-03","2014-02-07","R (>= 2.15.2), methods","stats4, stats, graphics, Matrix, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","lattice, MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-8","2014-02-04 16:12:55","2014-02-08","2014-05-07","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","lattice, MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, colorspace, mvnormtest, tseries, zoo"
"copula","0.999-9","2014-05-05 17:37:54","2014-05-08","2014-06-20","R (>= 2.15.2)","stats, graphics, methods, stats4, Matrix, gsl, ADGofTest, stabledist (>= 0.6-4), mvtnorm, pspline","GPL (>= 3) | file LICENCE","lattice, MASS, KernSmooth, sfsmisc, bbmle, scatterplot3d, Rmpfr, colorspace, mvnormtest, tseries, zoo"
"copulaedas","1.3.0","2013-05-02 18:18:31","2013-09-03","2014-02-07","methods, copula, vines, mvtnorm, truncnorm",,"GPL (>= 3)","cec2005benchmark, cec2013"
"copulaedas","1.3.1","2014-02-06 19:17:57","2014-02-08","2014-05-16","methods","copula, vines (>= 1.0.10), mvtnorm, truncnorm","GPL (>= 3)","cec2005benchmark, cec2013"
"copulaedas","1.4.0","2014-05-13 00:18:46","2014-05-17","2014-06-23","methods","copula, vines (>= 1.1.0), mvtnorm, truncnorm","GPL (>= 2)","cec2005benchmark, cec2013"
"copulaedas","1.4.1","2014-06-21 07:21:36","2014-06-24","2015-04-20","methods","copula, vines (>= 1.1.0), mvtnorm, truncnorm","GPL (>= 2)","cec2005benchmark, cec2013"
"corHMM","1.11","2013-09-23 08:09:17","2013-09-03","2013-09-25","ape, nloptr, numDeriv, expm, corpcor, phangorn, parallel, rgenoud",,"GPL (>= 2)",
"corHMM","1.12","2013-09-24 08:20:47","2013-09-26","2014-02-21","ape, nloptr, parallel","expm, numDeriv, corpcor, phangorn, rgenoud","GPL (>= 2)",
"corHMM","1.13","2014-02-20 06:56:09","2014-02-22","2014-07-14","ape, nloptr, parallel","expm, numDeriv, corpcor, phangorn, rgenoud","GPL (>= 2)",
"corHMM","1.14","2014-07-11 06:41:59","2014-07-15","2014-09-19","ape, nloptr, parallel","expm, numDeriv, corpcor, phangorn, rgenoud","GPL (>= 2)",
"corHMM","1.15","2014-09-18 07:31:03","2014-09-20","2015-04-10","ape, nloptr","expm, numDeriv, corpcor, phangorn, rgenoud, parallel","GPL (>= 2)",
"corHMM","1.16","2015-04-08 07:26:51","2015-04-11","2015-04-20","ape, nloptr, GenSA","expm, numDeriv, corpcor, phangorn, parallel","GPL (>= 2)",
"corTools","1.0","2013-08-23 18:47:42","2013-09-03","2015-04-20",,,"Artistic License 2.0",
"corclass","0.1","2013-12-10 08:36:55","2013-12-12","2015-04-20","igraph",,"GPL-2","Cairo"
"corcounts","1.4","2009-11-13 14:35:21","2013-09-03","2015-04-20",,,"GPL (>= 3)",
"coreTDT","1.0","2014-09-03 07:20:58","2014-09-06","2015-04-20",,,"GPL-3",
"corpcor","1.6.6","2013-05-15 10:50:21","2013-09-03","2014-10-01","R (>= 2.15.0)",,"GPL (>= 3)",""
"corpcor","1.6.7","2014-09-29 18:30:16","2014-10-02","2015-04-20","R (>= 2.15.1)",,"GPL (>= 3)",""
"corpora","0.4-3","2012-04-04 15:26:37","2013-09-03","2015-04-20","R (>= 2.10.0)",,"GPL-3",
"correlate","1.0","2014-01-23 16:18:38","2014-01-25","2015-04-20",,,"GPL (>= 3)",
"corrgram","1.5","2013-08-29 22:27:57","2013-09-03","2014-08-29","graphics, seriation, stats",,"GPL-2",
"corrgram","1.6","2014-08-29 01:30:05","2014-08-30","2015-02-18",,"graphics, seriation, stats","GPL-2","knitr, Matrix"
"corrgram","1.7","2015-02-13 07:43:39","2015-02-19","2015-04-20",,"graphics, seriation, stats","GPL-2","knitr, Matrix"
"corrperm","2.0","2012-10-29 08:58:28","2013-09-03","2013-12-23",,,"GPL-3",
"corrplot","0.71","2013-03-05 08:48:19","2013-09-03","2013-10-16",,,"GPL","seriation, knitr"
"corrplot","0.73","2013-10-15 10:04:09","2013-10-17","2015-04-20",,,"GPL","seriation, knitr"
"corrsieve","1.6-8","2013-05-07 12:53:36","2013-09-03","2015-04-20","methods",,"GPL (>= 3)",
"cosinor","1.0","2014-07-25 18:37:52","2014-07-29","2014-07-30","R (>= 2.11.0)","ggplot2","MIT + file LICENSE",
"cosinor","1.1","2014-07-28 20:04:21","2014-07-31","2015-04-20","R (>= 2.11.0)","ggplot2, shiny","MIT + file LICENSE","knitr"
"cosmoFns","1.0-1","2012-12-15 15:47:36","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"cosmosR","1.0","2014-01-03 15:05:41","2014-01-07","2015-04-20","xlsx",,"GPL-3",
"cosso","2.1-1","2013-03-11 07:44:03","2013-09-03","2015-04-20","quadprog, Rglpk, parallel, glmnet",,"GPL (>= 2)",
"costat","2.2","2013-06-04 16:01:53","2013-09-03","2013-10-16","R (>= 2.14), wavethresh (>= 4.6.1)",,"GPL (>= 2)","parallel"
"costat","2.3","2013-10-14 14:19:47","2013-10-17","2015-04-20","R (>= 2.14), wavethresh (>= 4.6.1)",,"GPL (>= 2)","parallel"
"cotrend","1.0","2012-10-29 08:58:28","2013-09-03","2015-04-20","xts",,"GPL",
"couchDB","1.3.0","2014-09-09 07:24:26","2014-09-11","2015-04-20","R (>= 3.0.0), RCurl, bitops, httr, rjson",,"AGPL-3",
"countrycode","0.16","2013-08-20 22:21:52","2013-09-03","2014-07-16",,,"GPL-3",
"countrycode","0.17","2014-07-15 16:42:48","2014-07-17","2014-12-31",,,"GPL-3",
"countrycode","0.18","2014-12-29 07:23:14","2015-01-01","2015-04-20",,,"GPL-3","testthat (>= 0.5)"
"covLCA","1.0","2013-06-10 11:06:38","2013-09-03","2015-04-20","Matrix, mlogit, poLCA",,"GPL-2",
"covRobust","1.1-0","2013-05-10 10:07:46","2013-09-03","2015-04-20","R (>= 2.15.1)",,"GPL (>= 2)",
"covTest","1.02","2013-08-14 07:28:17","2013-09-03","2015-04-20","lars,glmnet,glmpath (>= 0.97),MASS",,"GPL-2",
"covreg","1.0","2014-03-06 08:01:03","2014-03-08","2015-04-20",,,"GPL-2",
"coxinterval","1.0","2014-07-20 20:53:01","2014-07-22","2015-04-20","Matrix, parallel, survival, timereg, R (>= 2.13.0)",,"GPL (>= 2)",
"coxme","2.2-3","2012-05-15 17:35:41","2013-09-03","2015-03-04","survival (>= 2.36.14), bdsmatrix (>= 1.3), nlme, Matrix (>= 1.0), methods, R (>= 2.12.0)",,"LGPL-2","mvtnorm, kinship2"
"coxme","2.2-4","2015-03-03 22:41:05","2015-03-05","2015-04-20","survival (>= 2.36.14), methods, bdsmatrix(>= 1.3)","nlme, Matrix (>= 1.0)","LGPL-2","mvtnorm, kinship2"
"coxphf","1.10","2013-07-08 12:01:28","2013-09-03","2015-01-23","R (>= 3.0.0), survival",,"GPL",
"coxphf","1.11","2015-01-21 18:02:13","2015-01-24","2015-04-20","R (>= 3.0.2)","survival","GPL",
"coxphw","2.12","2012-09-14 12:04:58","2013-09-03","2013-11-06","R (>= 2.15.1), survival",,"GPL",
"coxphw","2.13","2013-11-04 17:51:26","2013-11-07","2014-04-09","R (>= 3.0.0), survival",,"GPL",
"coxphw","3.0.0","2014-04-08 16:40:25","2014-04-10","2015-04-20","R (>= 3.0.2), survival",,"GPL-2",
"coxrobust","1.0","2006-03-15 09:12:51","2013-09-03","2015-04-20","R (>= 2.0.0), survival",,"GPL (>= 2)",
"coxsei","0.1","2015-02-24 08:03:36","2015-02-26","2015-04-20",,,"GPL (>= 2)",
"cpa","1.0","2013-10-12 19:33:47","2013-10-17","2015-04-20","tcltk",,"GPL (>= 2)",
"cpca","0.1.2","2014-02-07 23:23:30","2014-02-11","2015-04-20","R (>= 3.0.1)",,"GPL (>= 3)","abind, plyr"
"cpk","1.3","2013-07-28 18:32:15","2013-09-03","2013-12-27","R (>= 2.10.0)",,"GPL-2",
"cpk","1.3-1","2013-12-26 08:12:14","2013-12-28","2015-04-20","R (>= 2.10.0)",,"GPL-2",
"cplexAPI","1.2.11","2014-07-28 18:16:35","2014-07-31","2015-04-20","R (>= 2.6.0)","methods","GPL-3",
"cplexAPI","1.2.9","2013-05-23 18:28:00","2013-09-03","2014-07-30","R (>= 2.6.0), methods",,"GPL-3",
"cplm","0.6-4","2012-08-16 17:36:15","2013-09-03","2013-09-27","R (>= 2.10), biglm, coda, ggplot2, lme4, Matrix, splines, methods","minqa, reshape2, statmod, stats, stats4, tweedie","GPL (>= 2)",
"cplm","0.7-1","2014-01-17 20:22:52","2014-01-21","2014-03-12","R (>= 2.10), coda, Matrix, splines, methods","biglm, ggplot2, minqa, nlme, reshape2, statmod, stats, stats4, tweedie","GPL (>= 2)",
"cplm","0.7-2","2014-03-10 19:42:06","2014-03-13","2015-04-20","R (>= 2.10), coda, Matrix, splines, methods","biglm, ggplot2, minqa, nlme, reshape2, statmod, stats, stats4, tweedie","GPL (>= 2)",
"cpm","1.1","2013-12-15 11:24:09","2013-09-03","2014-06-02","R (>= 2.12.0), methods",,"GPL-3",
"cqrReg","1.0","2014-11-27 07:39:39","2014-11-29","2015-03-02","Matrix,Rmosek","Rcpp (>= 0.10.0)","GPL (>= 2)",
"cqrReg","1.1","2015-03-01 08:21:04","2015-03-03","2015-03-16","Rcpp (>= 0.10.0),quantreg,R (>= 2.6)",,"GPL (>= 2)",
"cqrReg","1.2","2015-04-08 07:35:10","2015-04-11","2015-04-20","Rcpp (>= 0.10.0),quantreg,R (>= 2.6)",,"GPL (>= 2)",
"cquad","1.0","2015-01-05 22:36:10","2015-01-08","2015-04-20","R (>= 2.0.0)",,"GPL (>= 2)",
"crackR","0.3-9","2014-04-22 07:23:28","2014-04-24","2015-04-20","Hmisc (>= 3.14-3), evd (>= 2.3-0)",,"GPL-3",
"cramer","0.8-1","2006-06-19 06:58:24","2013-09-03","2014-07-30","R (>= 0.65), boot","boot","GPL (>= 2)",
"cramer","0.9-1","2014-08-12 06:53:33","2014-08-14","2015-04-20","R (>= 0.65), boot",,"GPL (>= 2)",
"crank","1.0-4","2013-04-14 16:58:23","2013-09-03","2014-03-31","",,"GPL (>= 2)",
"crank","1.0-5","2014-03-30 08:09:23","2014-04-01","2014-11-06","",,"GPL (>= 2)",
"crank","1.0-6","2014-11-09 13:08:39","2014-11-10","2015-01-21","",,"GPL (>= 2)",
"crank","1.0-7","2015-01-21 00:52:10","2015-01-22","2015-04-20","",,"GPL (>= 2)",
"crantastic","0.1","2009-08-08 18:58:43","2013-09-03","2015-04-20",,,"GPL-2",
"crawl","1.4-1","2013-07-26 18:30:04","2013-09-03","2015-04-20","mvtnorm, sp, raster",,"Unlimited",
"crayon","1.0.0","2014-09-23 22:19:19","2014-09-25","2014-11-03",,,"MIT + file LICENSE","testthat"
"crayon","1.1.0","2014-10-15 17:51:53","2014-11-04","2015-04-10",,"memoise","MIT + file LICENSE","testthat"
"crayon","1.2.0","2015-04-09 00:30:39","2015-04-11","2015-04-20",,"memoise","MIT + file LICENSE","testthat"
"crblocks","0.9-1","2012-08-03 07:25:31","2013-09-03","2015-04-20",,,"GPL (>= 2)",
"crch","0.1-0","2013-10-22 08:16:33","2013-10-24","2015-04-20","R (>= 2.10.0)","stats, Formula, ordinal","GPL-2 | GPL-3","lmtest"
"crimCV","0.9.3","2013-03-23 16:48:45","2013-09-03","2015-04-20","R (>= 2.10.0), splines",,"GPL (>= 2)",
"crmn","0.0.19","2012-07-13 08:55:29","2013-09-03","2014-11-21","pcaMethods (>= 1.24.0), Biobase, methods","pls","GPL (>= 3)",
"crmn","0.0.20","2014-11-20 08:08:21","2014-11-22","2015-04-20","R (>= 2.10), pcaMethods (>= 1.56.0), Biobase, methods",,"GPL (>= 3)",
"crn","1.1","2012-08-02 06:40:53","2013-09-03","2015-04-20","R (>= 2.11.0), chron, RCurl",,"GPL (>= 2)",
"crossReg","1.0","2014-07-09 08:18:15","2014-07-12","2015-04-20",,,"GPL-2","boot, MASS"
"crossdes","1.1-1","2013-03-18 22:24:38","2013-09-03","2015-04-20","AlgDesign, gtools",,"GPL-2",
"crossmatch","1.3-1","2012-06-17 02:13:01","2013-09-03","2015-04-20","survival,nbpMatching",,"GPL-2","MASS"
"crossval","1.0.0","2014-03-31 12:00:27","2014-04-03","2014-04-25","R (>= 2.15.1)",,"GPL (>= 3)","MASS"
"crossval","1.0.1","2014-04-25 01:24:51","2014-04-26","2014-11-17","R (>= 2.15.1)",,"GPL (>= 3)","MASS, sda, care, binda"
"crossval","1.0.2","2014-11-14 08:16:32","2014-11-18","2015-04-20","R (>= 2.15.1)",,"GPL (>= 3)","MASS, sda, care, binda"
"crp.CSFP","1.2.1","2013-05-08 15:37:36","2013-09-03","2013-11-06","methods",,"GPL-2",
"crp.CSFP","2.0","2013-11-04 15:56:25","2013-11-07","2015-04-20","methods, MASS",,"GPL-2",
"crqa","1.0","2013-10-03 19:40:19","2013-10-05","2013-11-13","R (>= 1.8.0), Matrix, tseriesChaos, fields",,"GPL (>= 2)",
"crqa","1.0.1","2013-11-12 12:39:25","2013-11-14","2014-01-14","R (>= 1.8.0), Matrix, tseriesChaos, fields",,"GPL (>= 2)",
"crqa","1.0.2","2014-01-12 16:51:25","2014-01-15","2014-03-14","R (>= 1.8.0), Matrix, tseriesChaos, fields",,"GPL (>= 2)",
"crqa","1.0.3","2014-03-12 13:14:16","2014-03-15","2014-03-19","R (>= 1.8.0), Matrix, tseriesChaos, fields",,"GPL (>= 2)",
"crqa","1.0.4","2014-03-17 12:54:41","2014-03-20","2014-12-08","R (>= 3.0.0), Matrix, tseriesChaos, fields",,"GPL (>= 2)",
