,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
Rsubread,"Alignment,ChIPSeq,GeneExpression,GeneRegulation,GeneticVariability,Genetics,GenomeAnnotation,Preprocessing,QualityControl,RNASeq,SNP,SequenceMatching,Sequencing,Software",,,GPL-3,http://bioconductor.org/packages/release/bioc/html/Rsubread.html,,,&nbsp;,,,1.16.1,BioC 2.8 (R-2.13),,,
Rtreemix,"Software,StatisticalMethod",,,LGPL,,"methods,graph,Biobase,Hmisc",,&nbsp;,Rgraphviz,R (>= 2.5.0),1.28.0,BioC 2.2 (R-2.7),,,
S4Vectors,"DataRepresentation,Infrastructure,Software",,,Artistic-2.0,,"methods, utils, stats, stats4,BiocGenerics",BiocGenerics,&nbsp;,"IRanges,RUnit","R (>= 3.1.0), methods, utils, stats, stats4,BiocGenerics(>= 0.11.3)",0.4.0,BioC 3.0 (R-3.1),"AllelicImbalance,AnnotationDbi,AnnotationForge,ballgown,biovizBase,BiSeq,BitSeq,BSgenome,casper,cgdv17,ChIPQC,ChIPseeker,CNEr,compEpiTools,copynumber,CoverageView,csaw,DECIPHER,derfinder,derfinderHelper,DiffBind,easyRNASeq,epivizr,GenomeInfoDb,GenomicAlignments,GenomicTuples,genoset,ggbio,GGtools,gmapR,GOTHiC,gwascat,h5vc,kebabs,methylPipe,methylumi,minfi,MinimumDistance,mygene,NarrowPeaks,nucleR,oligoClasses,Pbase,pd.atdschip.tiling,pdInfoBuilder,polyester,qcmetrics,qpgraph,QuasR,Rariant,Rcade,Repitools,roar,Rqc,rtracklayer,SeqArray,seqplots,SGSeq,ShortRead,SNPlocs.Hsapiens.dbSNP141.GRCh38,SomaticSignatures,TFBSTools,TSSi,VanillaICE,VariantAnnotation,VariantFiltering,XVector","AnnotationHub,Biostrings,BiSeq,BSgenome,bumphunter,CexoR,chipseq,ChIPseqR,CSAR,DESeq2,DirichletMultinomial,DNaseR,GenomeInfoDb,GenomicAlignments,GenomicFeatures,GenomicRanges,girafe,groHMM,Gviz,IRanges,meshr,methyAnalysis,MotifDb,OTUbase,pd.ag,pd.aragene.1.0.st,pd.aragene.1.1.st,pd.ath1.121501,pd.barley1,pd.bovgene.1.0.st,pd.bovgene.1.1.st,pd.bovine,pd.bsubtilis,pd.cangene.1.0.st,pd.cangene.1.1.st,pd.canine,pd.canine.2,pd.celegans,pd.chicken,pd.chigene.1.0.st,pd.chigene.1.1.st,pd.chogene.2.0.st,pd.chogene.2.1.st,pd.citrus,pd.cotton,pd.cyngene.1.0.st,pd.cyngene.1.1.st,pd.cyrgene.1.0.st,pd.cyrgene.1.1.st,pd.cytogenetics.array,pd.drogene.1.0.st,pd.drogene.1.1.st,pd.drosgenome1,pd.drosophila.2,pd.e.coli.2,pd.ecoli,pd.ecoli.asv2,pd.elegene.1.0.st,pd.elegene.1.1.st,pd.equgene.1.0.st,pd.equgene.1.1.st,pd.felgene.1.0.st,pd.felgene.1.1.st,pd.fingene.1.0.st,pd.fingene.1.1.st,pd.genomewidesnp.5,pd.genomewidesnp.6,pd.guigene.1.0.st,pd.guigene.1.1.st,pd.hc.g110,pd.hg.focus,pd.hg.u133.plus.2,pd.hg.u133a,pd.hg.u133a.2,pd.hg.u133a.tag,pd.hg.u133b,pd.hg.u219,pd.hg.u95a,pd.hg.u95av2,pd.hg.u95b,pd.hg.u95c,pd.hg.u95d,pd.hg.u95e,pd.ht.hg.u133.plus.pm,pd.ht.hg.u133a,pd.ht.mg.430a,pd.hta.2.0,pd.hu6800,pd.huex.1.0.st.v2,pd.hugene.1.0.st.v1,pd.hugene.1.1.st.v1,pd.hugene.2.0.st,pd.hugene.2.1.st,pd.maize,pd.mapping250k.nsp,pd.mapping250k.sty,pd.mapping50k.hind240,pd.mapping50k.xba240,pd.margene.1.0.st,pd.margene.1.1.st,pd.medgene.1.0.st,pd.medgene.1.1.st,pd.medicago,pd.mg.u74a,pd.mg.u74av2,pd.mg.u74b,pd.mg.u74bv2,pd.mg.u74c,pd.mg.u74cv2,pd.mirna.1.0,pd.mirna.2.0,pd.mirna.3.0,pd.mirna.4.0,pd.moe430a,pd.moe430b,pd.moex.1.0.st.v1,pd.mogene.1.0.st.v1,pd.mogene.1.1.st.v1,pd.mogene.2.1.st,pd.mouse430.2,pd.mouse430a.2,pd.mu11ksuba,pd.mu11ksubb,pd.nugo.hs1a520180,pd.nugo.mm1a520177,pd.ovigene.1.0.st,pd.ovigene.1.1.st,pd.pae.g1a,pd.plasmodium.anopheles,pd.poplar,pd.porcine,pd.porgene.1.0.st,pd.porgene.1.1.st,pd.rabgene.1.0.st,pd.rabgene.1.1.st,pd.rae230a,pd.rae230b,pd.raex.1.0.st.v1,pd.ragene.1.0.st.v1,pd.ragene.1.1.st.v1,pd.ragene.2.0.st,pd.ragene.2.1.st,pd.rat230.2,pd.rcngene.1.0.st,pd.rcngene.1.1.st,pd.rg.u34a,pd.rg.u34b,pd.rg.u34c,pd.rhegene.1.0.st,pd.rhegene.1.1.st,pd.rhesus,pd.rice,pd.rjpgene.1.0.st,pd.rjpgene.1.1.st,pd.rn.u34,pd.rusgene.1.0.st,pd.rusgene.1.1.st,pd.s.aureus,pd.soybean,pd.soygene.1.0.st,pd.soygene.1.1.st,pd.sugar.cane,pd.tomato,pd.u133.x3p,pd.vitis.vinifera,pd.wheat,pd.x.laevis.2,pd.x.tropicalis,pd.xenopus.laevis,pd.yeast.2,pd.yg.s98,pd.zebgene.1.0.st,pd.zebgene.1.1.st,pd.zebrafish,plethy,Rsamtools,segmentSeq,SNPlocs.Hsapiens.dbSNP141.GRCh38,SplicingGraphs,triplex,VariantTools,XVector",
SAGx,"Clustering,DataImport,DifferentialExpression,Microarray,MultipleComparison,OneChannel,Preprocessing,Software",,,GPL-3,http://home.swipnet.se/pibroberg/expression_hemsida1.html,"Biobase, stats4",,&nbsp;,"KEGG.db,hu6800.db,MASS","R (>= 2.5.0), stats,multtest, methods",1.40.0,BioC 1.9 (R-2.4),,,
SANTA,"Clustering,Network,NetworkEnrichment,Software",,,GPL (>= 2),,"Matrix,snow,stringr",,&nbsp;,"RUnit,BiocGenerics,knitr,knitcitations,formatR,org.Sc.sgd.db,BioNet,DLBCL,msm","R (>= 2.14),igraph",2.2.0,BioC 2.12 (R-3.0),,,
SBMLR,"GraphAndNetwork,Network,Pathways,Software",,,GPL-2,http://epbi-radivot.cwru.edu/SBMLR/SBMLR.html,,,&nbsp;,rsbml,"XML,deSolve",1.62.0,BioC 1.7 (R-2.2),,,
SCAN.UPC,"Microarray,OneChannel,Preprocessing,RNASeq,Software,TwoChannel",,,MIT,http://bioconductor.orghttp://jlab.bu.edu/software/scan-upc,"utils, methods,MASS, tools,IRanges",,&nbsp;,pd.hg.u95a,"R (>= 2.14.0),Biobase(>= 2.6.0),oligo,Biostrings,GEOquery,affy,affyio,foreach,sva",2.8.1,BioC 2.11 (R-2.15),,,
SGSeq,"AlternativeSplicing,RNASeq,Software,Transcription",,,Artistic-2.0,,"AnnotationDbi,BiocGenerics,Biostrings,GenomicAlignments,GenomicFeatures,GenomeInfoDb,igraph, parallel,Rsamtools,rtracklayer,S4Vectors(>= 0.2.3)",,&nbsp;,"BiocStyle,knitr,TxDb.Hsapiens.UCSC.hg19.knownGene","BiocParallel,GenomicRanges,IRanges, methods",1.0.6,BioC 3.0 (R-3.1),,,
SIM,"Microarray,Software,Visualization",,,GPL (>= 2),,"graphics, stats,globaltest,quantsmooth",,&nbsp;,"biomaRt,RColorBrewer","R (>= 2.4),quantreg",1.36.0,BioC 2.3 (R-2.8),,,
SJava,"Infrastructure,Software",,,GPL (>= 2),,,,&nbsp;,,"R (>= 2.10.0), methods",0.92.1,BioC 2.5 (R-2.10),RWebServices,RWebServices,
SLGI,"Genetics,GraphAndNetwork,Network,Proteomics,Software",,,Artistic-2.0,,"AnnotationDbi,Biobase,GO.db,ScISI, graphics,lattice, methods, stats,BiocGenerics",,&nbsp;,"GO.db,org.Sc.sgd.db","R (>= 2.10),ScISI,lattice",1.26.0,BioC 2.2 (R-2.7),,PCpheno,
SLqPCR,"MicrotitrePlateAssay,Software,qPCR",,,GPL (>= 2),,stats,EasyqpcR,&nbsp;,RColorBrewer,R (>= 2.4.0),1.32.0,BioC 2.0 (R-2.5),,,
SMAP,"CopyNumberVariation,Microarray,Software,TwoChannel",,,GPL-2,,,,&nbsp;,,"R (>= 2.10), methods",1.30.0,BioC 2.1 (R-2.6),,,
SNAGEE,"Microarray,OneChannel,QualityControl,Software,TwoChannel",parallel,,Artistic-2.0,http://bioconductor.org/,,SNAGEEdata,&nbsp;,"ALL,hgu95av2.db","R (>= 2.6.0),SNAGEEdata",1.6.0,BioC 2.12 (R-3.0),,,
SNPRelate,"Genetics,Infrastructure,PrincipalComponent,Software,StatisticalMethod",,gdsfmt,GPL-3,http://github.com/zhengxwen/SNPRelatehttp://corearray.sourceforge.net/tutorials/SNPRelate/,,GWASTools,&nbsp;,"parallel,RUnit,lattice,BiocStyle,BiocGenerics,knitr","R (>= 2.14),gdsfmt(>= 1.2.2)",1.0.1,BioC 3.0 (R-3.1),,,
SNPchip,"CopyNumberVariation,GeneticVariability,SNP,Software,Visualization","doSNOW,VanillaICE(>= 1.21.24),RColorBrewer",,LGPL (>= 2),http://www.biostat.jhsph.edu/~iruczins/software/snpchip.html,"graphics,lattice, grid,foreach, utils, methods,oligoClasses(>= 1.21.12),Biobase,GenomicRanges,IRanges,GenomeInfoDb","Category,MinimumDistance,VanillaICE",&nbsp;,"crlmm(>= 1.17.14),RUnit",R (>= 2.14.0),2.12.0,BioC 2.0 (R-2.5),"crlmm,phenoTest",mBPCR,
SPEM,"Network,NetworkInference,Software",,,GPL-2,,,,&nbsp;,,"R (>= 2.15.1),Rsolnp,Biobase, methods",1.6.0,BioC 2.12 (R-3.0),,,
SPIA,"GraphAndNetwork,Microarray,Software",,,GPL (>= 2),http://bioinformatics.oxfordjournals.org/cgi/reprint/btn577v1,graphics,"graphite,KEGGgraph",&nbsp;,"graph,Rgraphviz,hgu133plus2.db","R (>= 2.14.0), graphics,KEGGgraph",2.18.0,BioC 2.4 (R-2.9),"EnrichmentBrowser,ToPASeq",,
SQUADD,"GraphAndNetwork,Network,Software,Visualization",,,GPL (>=2),http://www.unil.ch/dbmv/page21142_en.html,"graphics, grDevices, methods,RColorBrewer, stats, utils",,&nbsp;,,R (>= 2.11.0),1.16.0,BioC 2.7 (R-2.12),,,
SRAdb,"DataImport,Infrastructure,Sequencing,Software",,,Artistic-2.0,http://gbnci.abcc.ncifcrf.gov/sra/,GEOquery,"parathyroid,parathyroidSE",&nbsp;,Rgraphviz,"RSQLite(>= 0.8-4),graph,RCurl",1.20.13,BioC 2.6 (R-2.11),,,
SSPA,"GeneExpression,Microarray,RNASeq,Software,StatisticalMethod",,,GPL (>= 2),http://www.humgen.nl/MicroarrayAnalysisGroup.html,"graphics, stats",,&nbsp;,"BiocStyle,genefilter,edgeR,DESeq","R (>= 2.12), methods,qvalue,lattice,limma",2.6.0,BioC 2.4 (R-2.9),,,
STAN,"GenomeAnnotation,HiddenMarkovModel,Microarray,Sequencing,Software",,,GPL (>= 2),,,,&nbsp;,"BiocStyle,Gviz,GenomicRanges,IRanges,gplots,knitr","Rsolnp, methods",1.0.0,BioC 3.0 (R-3.1),,,
STATegRa,"Clustering,DimensionReduction,PrincipalComponent,Software,StatisticalMethod",,,GPL-2,,"Biobase,gridExtra,ggplot2, methods, grid,MASS,calibrate,gplots",,&nbsp;,"RUnit,BiocGenerics,knitr(>= 1.6),rmarkdown,BiocStyle(>= 1.3)",R (>= 2.10),1.0.0,BioC 3.0 (R-3.1),,,
STRINGdb,"Network,Software",,,GPL-2,,,,&nbsp;,"RUnit,BiocGenerics","R (>= 2.14.0),png,sqldf,plyr,igraph,RCurl,plotrix, methods,RColorBrewer,gplots,hash",1.5.5,BioC 2.13 (R-3.0),,scsR,
SamSPECTRAL,"Cancer,CellBiology,Clustering,FlowCytometry,HIV,Software,StemCells",,,GPL (>= 2),,methods,,&nbsp;,,R (>= 2.10),1.20.0,BioC 2.6 (R-2.11),,,
ScISI,"DecisionTree,GraphAndNetwork,NetworkInference,Proteomics,Software",,,LGPL,,"AnnotationDbi,GO.db,RpsiXML,annotate, methods,org.Sc.sgd.db, utils",RpsiXML,&nbsp;,"ppiData,xtable","R (>= 2.10),GO.db,RpsiXML,annotate,apComplex",1.38.0,BioC 1.8 (R-2.3),"PCpheno,SLGI","PCpheno,ppiStats,SLGI",
SemDist,"Annotation,Classification,GO,Software",,,GPL (>= 2),http://github.com/iangonzalez/SemDist,,,&nbsp;,GOSemSim,"R (>= 3.1),AnnotationDbi,GO.db,annotate",1.0.0,BioC 3.0 (R-3.1),,,
SeqArray,"Genetics,Infrastructure,Sequencing,Software",,gdsfmt,GPL-3,http://corearray.sourceforge.net/tutorials/SeqArray/http://github.com/zhengxwen/SeqArray,"methods,Biostrings,GenomicRanges,IRanges,S4Vectors,VariantAnnotation",,&nbsp;,"parallel,BiocStyle,BiocGenerics,RUnit,Rcpp",gdsfmt(>= 1.1.0),1.6.1,BioC 2.12 (R-3.0),,SeqVarTools,
SeqGSEA,"DifferentialExpression,GeneExpression,GeneSetEnrichment,RNASeq,Sequencing,Software",,,GPL (>= 3),,"methods,biomaRt",,&nbsp;,"easyRNASeq,GenomicRanges","Biobase,doParallel,DESeq",1.6.0,BioC 2.12 (R-3.0),,,
SeqVarTools,"GeneticVariability,Genetics,SNP,Sequencing,Software",,,GPL-3,,"methods,GenomicRanges,IRanges,GWASExactHW",,&nbsp;,"BiocGenerics,RUnit",SeqArray(>= 1.1.1),1.4.0,BioC 2.13 (R-3.0),,,
ShortRead,"DataImport,QualityControl,Sequencing,Software",,"S4Vectors,IRanges,XVector,Biostrings",Artistic-2.0,,"Biobase,S4Vectors(>= 0.2.2),IRanges(>= 1.99.27),GenomeInfoDb(>= 1.1.19),GenomicRanges(>= 1.17.39),hwriter, methods,zlibbioc,lattice,latticeExtra","BiocParallel,CSAR,DBChIP,Genominator,HiCDataLymphoblast,PICS,PING,Repitools,RnaSeqTutorial,Rsamtools,yeastRNASeq",&nbsp;,"BiocStyle,RUnit,biomaRt,GenomicFeatures,yeastNagalakshmi","BiocGenerics(>= 0.11.3),BiocParallel,Biostrings(>= 2.33.14),Rsamtools(>= 1.17.28),GenomicAlignments(>= 1.1.28)",1.24.0,BioC 2.3 (R-2.8),"ArrayExpressHTS,BEAT,chipseq,ChIPseqR,ChIPsim,easyRNASeq,GOTHiC,nucleR,QuasR,R453Plus1Toolbox,Rolexa,RSVSim","Basic4Cseq,chipseq,ChIPseqR,EatonEtAlChIPseq,EDASeq,girafe,HTSeqGenie,nucleR,OTUbase,Rolexa,Rqc,rSFFreader,segmentSeq,systemPipeR",
SigCheck,"Classification,GeneExpression,GeneSetEnrichment,Software",,,Artistic-2.0,,"graphics, stats, utils",,&nbsp;,"BiocStyle,breastCancerNKI","R (>= 3.1.0),MLInterfaces,Biobase,e1071,BiocParallel",1.0.2,BioC 3.0 (R-3.1),,,
SigFuge,"Clustering,RNASeq,Software,Visualization",,,GPL-3,,"ggplot2,matlab,reshape,sigclust",,&nbsp;,"org.Hs.eg.db,prebsdata,Rsamtools(>= 1.17.0),TxDb.Hsapiens.UCSC.hg19.knownGene,BiocStyle","R (>= 3.1.1),GenomicRanges",1.4.0,BioC 2.13 (R-3.0),,,
SimBindProfiles,"Microarray,Software",,,GPL-3,,"limma,mclust,Biobase",,&nbsp;,,"R (>= 2.10), methods,Ringo",1.4.0,BioC 2.13 (R-3.0),,,
SomatiCA,"CopyNumberVariation,Sequencing,Software","sn,SomatiCAData",,GPL (>=2),,"foreach,lars,sn,DNAcopy, methods,rebmix,GenomicRanges,IRanges",,&nbsp;,,"R (>= 2.14.0),lars,DNAcopy,foreach, methods,rebmix,GenomicRanges,IRanges,doParallel",1.10.0,BioC 2.12 (R-3.0),,,
SomaticSignatures,"Clustering,GenomicVariation,Sequencing,Software,SomaticMutation,StatisticalMethod,Visualization",,,GPL-3,http://bioconductor.org/packages/release/bioc/html/SomaticSignatures.htmlhttps://github.com/julian-gehring/SomaticSignatures,"S4Vectors,IRanges,GenomeInfoDb,Biostrings,ggplot2,ggbio,reshape2,NMF,pcaMethods,Biobase, methods,proxy",,&nbsp;,"testthat,knitr, parallel,BSgenome.Hsapiens.UCSC.hg19,SomaticCancerAlterations,COSMIC.67,ggdendro,fastICA","R (>= 3.0.2),VariantAnnotation,GenomicRanges",2.2.3,BioC 2.14 (R-3.1),Rariant,,
SpacePAC,"Clustering,Proteomics,Software",,,GPL-2,,,,&nbsp;,"RUnit,BiocGenerics,rgl","R (>= 2.15),iPAC",1.4.0,BioC 2.13 (R-3.0),,,
SpeCond,"Clustering,DifferentialExpression,Microarray,MultipleComparison,ReportWriting,Software",,,LGPL (>=2),,,,&nbsp;,,"R (>= 2.10.0),mclust(>= 3.3.1),Biobase(>= 1.15.13),fields,hwriter(>= 1.1),RColorBrewer, methods",1.20.0,BioC 2.5 (R-2.10),,,
SplicingGraphs,"Annotation,DataRepresentation,GeneExpression,Genetics,RNASeq,Sequencing,Software,Visualization",,,Artistic-2.0,,"methods, utils,igraph,BiocGenerics,IRanges,GenomicRanges,GenomicFeatures,GenomicAlignments,graph,Rgraphviz",,&nbsp;,"igraph,Gviz,Rsamtools,TxDb.Hsapiens.UCSC.hg19.knownGene,RNAseqData.HNRNPC.bam.chr14,RUnit","BiocGenerics,S4Vectors(>= 0.1.0),IRanges(>= 1.99.21),GenomicRanges(>= 1.17.22),GenomicFeatures(>= 1.17.13),GenomicAlignments(>= 1.1.22),Rgraphviz(>= 2.3.7)",1.6.0,BioC 2.12 (R-3.0),,,
Starr,"ChIPchip,DataImport,Microarray,OneChannel,Preprocessing,QualityControl,Software",,,Artistic-2.0,,"pspline,MASS,zlibbioc",,&nbsp;,,"Ringo,affy,affxparser",1.22.0,BioC 2.5 (R-2.10),,,
Streamer,"DataImport,Infrastructure,Software",,,Artistic-2.0,,"methods,graph,RBGL, parallel,BiocGenerics",,&nbsp;,"RUnit,Rsamtools(>= 1.5.53),GenomicAlignments,Rgraphviz",,1.12.0,BioC 2.9 (R-2.14),plethy,,
Sushi,"DataRepresentation,Genetics,Infrastructure,Sequencing,Software,Visualization",,,GPL (>= 2),,"graphics, grDevices",,&nbsp;,,"R (>= 2.10),zoo,biomaRt",1.2.0,BioC 2.14 (R-3.1),,,
SwimR,"Software,Visualization",,,LGPL-2,,methods,,&nbsp;,,"R (>= 3.0.0), methods,gplots(>= 2.10.1),heatmap.plus(>= 1.3),signal(>= 0.7),R2HTML(>= 2.2.1)",1.4.0,BioC 2.13 (R-3.0),,,
TCC,"DifferentialExpression,RNASeq,Sequencing,Software",snow,,GPL-2,,samr,compcodeR,&nbsp;,"RUnit,BiocGenerics","R (>= 2.15), methods,DESeq,DESeq2,edgeR,baySeq,ROC",1.6.5,BioC 2.13 (R-3.0),,,
TDARACNE,"Microarray,Software,TimeCourse",,,GPL-2,,,,&nbsp;,,"GenKern,Rgraphviz,Biobase",1.16.0,BioC 2.8 (R-2.13),,,
TEQC,"Genetics,Microarray,QualityControl,Sequencing,Software",,,GPL (>= 2),,Biobase(>= 2.15.1),,&nbsp;,,"methods,BiocGenerics(>= 0.1.0),IRanges(>= 1.13.5),Rsamtools,hwriter",3.6.0,BioC 2.8 (R-2.13),,,
TFBSTools,"GeneRegulation,MotifAnnotation,MotifDiscovery,Software",,,GPL-2,http://jaspar.genereg.net/,"Biostrings(>= 2.33.3),RSQLite(>= 0.11.4),seqLogo,GenomicRanges(>= 1.17.7),caTools(>= 1.14),XVector(>= 0.5.8),rtracklayer(>= 1.25.3),BSgenome(>= 1.30.0),S4Vectors(>= 0.2.3),IRanges(>= 1.99.28), methods,gtools(>= 3.0.0),CNEr(>= 0.99.8),BiocParallel(>= 0.5.6),DirichletMultinomial(>= 1.7.1),TFMPvalue(>= 0.0.5)",,&nbsp;,"JASPAR2014(>= 0.99.3),RUnit,BiocGenerics,BiocStyle",R (>= 3.0.1),1.4.0,BioC 2.13 (R-3.0),,,meme
TSCAN,"GUI,GeneExpression,Software,Visualization",,,GPL(>=2),,"ggplot2,shiny,plyr, grid,fastICA,igraph,TSP,combinat,mgcv,gplots",,&nbsp;,knitr,R (>= 2.10.0),1.2.0,BioC 3.0 (R-3.1),,,
TSSi,"Genetics,Preprocessing,RNASeq,Sequencing,Software",parallel,,GPL-3,http://julian-gehring.github.com/TSSi/,"methods,BiocGenerics,S4Vectors,Hmisc,minqa, stats,Biobase(>= 0.3.2),plyr,IRanges",,&nbsp;,rtracklayer,"R (>= 2.13.2),BiocGenerics(>= 0.3.2),IRanges",1.12.0,BioC 2.9 (R-2.14),,,
TargetScore,"Software,miRNA",,,GPL-2,http://www.cs.utoronto.ca/~yueli/software.html,,TargetScoreData,&nbsp;,"TargetScoreData,gplots,Biobase,GEOquery","pracma,Matrix",1.4.0,BioC 2.13 (R-3.0),,,
TargetSearch,"DecisionTree,MassSpectrometry,Preprocessing,Software",,,GPL (>= 2),,"graphics, grDevices, methods, stats, tcltk, utils",,&nbsp;,TargetSearchData,"R (>= 2.7.0),mzR",1.22.0,BioC 2.4 (R-2.9),,TargetSearchData,
TitanCNA,"CopyNumberVariation,DNASeq,ExomeSeq,Genetics,GenomicVariation,HiddenMarkovModel,Sequencing,Software,StatisticalMethod,WholeGenome",,,file LICENSE,,,,&nbsp;,,"R (>= 3.1.0),foreach(>= 1.4.0),IRanges(>= 1.99.1),Rsamtools(>= 1.17.11),GenomeInfoDb(>= 1.1.3)",1.4.0,BioC 2.14 (R-3.1),,,
ToPASeq,"DifferentialExpression,GeneExpression,GraphAndNetwork,Microarray,NetworkEnrichment,Pathways,RNASeq,Software,Visualization",,,AGPL-3,,"R.utils,edgeR,DESeq2,GenomicRanges,igraph,DESeq,fields,limma,TeachingDemos,SPIA,clipper,topologyGSA",,&nbsp;,"RUnit,BiocGenerics,gageData,Rgraphviz,DEGraph","graphite,gRbase,graph,locfit",1.0.1,BioC 3.0 (R-3.1),,,
TransView,"ChIPSeq,Clustering,DNAMethylation,DataImport,GeneExpression,MethylSeq,Microarray,MultipleComparison,RNASeq,Sequencing,Software,Transcription,Visualization",,Rsamtools,GPL-3,http://bioconductor.org/packages/release/bioc/html/TransView.html,"Rsamtools,zlibbioc,gplots,IRanges",,&nbsp;,"RUnit,pasillaBamSubset","methods,GenomicRanges",1.10.0,BioC 2.11 (R-2.15),,,
TurboNorm,"CpGIsland,DNAMethylation,MethylationArray,Microarray,Normalization,OneChannel,Preprocessing,Software,TwoChannel",,,LGPL,http://www.humgen.nl/MicroarrayAnalysisGroup.html,"stats, grDevices,affy,lattice",,&nbsp;,"BiocStyle,affydata","R (>= 2.12.0),convert,limma(>= 1.7.0),marray",1.14.0,BioC 2.8 (R-2.13),,,
TypeInfo,"Infrastructure,Software",,,BSD,,,,&nbsp;,Biobase,methods,1.32.0,BioC 1.9 (R-2.4),,RWebServices,
UNDO,Software,,,GPL-2,,"MASS,boot,nnls, stats, utils",,&nbsp;,,"R (>= 2.15.2), methods,BiocGenerics,Biobase",1.8.0,BioC 2.14 (R-3.1),,,
UniProt.ws,"Annotation,Infrastructure,Software",,,Artistic License 2.0,,"BiocGenerics,AnnotationDbi","cleaver,dagLogo",&nbsp;,RUnit,"RSQLite,RCurl, methods, utils",2.6.2,BioC 2.12 (R-3.0),,,
VanillaICE,"CopyNumberVariation,Software","doMC,doMPI,doSNOW,doParallel,doRedis",,LGPL-2,,"Biobase,oligoClasses(>= 1.24.0),IRanges(>= 1.14.0),S4Vectors,foreach,matrixStats,data.table, grid,lattice, methods,GenomeInfoDb,crlmm",,&nbsp;,"RUnit,SNPchip,human610quadv1bCrlmm,BSgenome.Hsapiens.UCSC.hg18,ArrayTV","R (>= 3.0.0),GenomicRanges",1.28.5,BioC 2.1 (R-2.6),MinimumDistance,,
VariantAnnotation,"Annotation,DataImport,Genetics,SNP,Sequencing,Software",,"S4Vectors,IRanges,XVector,Biostrings,Rsamtools",Artistic-2.0,,"utils,DBI,zlibbioc,Biobase,S4Vectors(>= 0.2.3),IRanges(>= 2.0.1),XVector(>= 0.5.6),Biostrings(>= 2.33.5),AnnotationDbi(>= 1.27.9),BSgenome,rtracklayer(>= 1.25.16),GenomicFeatures(>= 1.17.13)","GenomicRanges,GWASTools,trio,vtpnet",&nbsp;,"RUnit,BSgenome.Hsapiens.UCSC.hg19,TxDb.Hsapiens.UCSC.hg19.knownGene,SNPlocs.Hsapiens.dbSNP.20110815,SNPlocs.Hsapiens.dbSNP.20101109,SIFT.Hsapiens.dbSNP132,PolyPhen.Hsapiens.dbSNP131,snpStats,ggplot2,BiocStyle","R (>= 2.8.0), methods,BiocGenerics(>= 0.7.7),GenomeInfoDb(>= 1.1.3),GenomicRanges(>= 1.17.40),Rsamtools(>= 1.17.26)",1.12.9,BioC 2.9 (R-2.14),"biovizBase,COSMIC.67,customProDB,FunciSNP,ggbio,GGtools,gmapR,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MafDb.ESP6500SI.V2.SSA137.dbSNP138,R453Plus1Toolbox,SeqArray,VariantFiltering","ampliQueso,cgdv17,CNVrd2,deepSNV,ensemblVEP,HTSeqGenie,PolyPhen.Hsapiens.dbSNP131,Rariant,SIFT.Hsapiens.dbSNP132,SIFT.Hsapiens.dbSNP137,SomaticSignatures,VariantTools",
VariantFiltering,"Annotation,Genetics,HighThroughputSequencing,Homo_sapiens,SNP,Sequencing,Software",,"S4Vectors,IRanges,XVector,Biostrings",Artistic-2.0,https://github.com/rcastelo/VariantFiltering/issues,"DBI,RSQLite(>= 1.0.0),Biobase,S4Vectors,IRanges(>= 1.99.17),AnnotationDbi,BiocParallel,Biostrings(>= 2.33.11),GenomeInfoDb(>= 1.2.2),GenomicRanges(>= 1.17.19),GenomicFeatures,Rsamtools(>= 1.17.8),BSgenome,BSgenome.Hsapiens.UCSC.hg19,VariantAnnotation(>= 1.12.2),shiny",,&nbsp;,"BiocStyle,org.Hs.eg.db,TxDb.Hsapiens.UCSC.hg19.knownGene,SNPlocs.Hsapiens.dbSNP.20120608,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,phastCons100way.UCSC.hg19,PolyPhen.Hsapiens.dbSNP131,SIFT.Hsapiens.dbSNP137","R (>= 3.0.0), methods,BiocGenerics(>= 0.11.3)",1.2.14,BioC 2.14 (R-3.1),,"MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ALL.wgs.phase1.release.v3.20101123,MafDb.ESP6500SI.V2.SSA137.dbSNP138,MafDb.ESP6500SI.V2.SSA137.dbSNP138,phastCons100way.UCSC.hg19,phastCons100way.UCSC.hg19",
VariantTools,"GeneticVariability,Genetics,Sequencing,Software",,,Artistic-2.0,,"Rsamtools(>= 1.17.6),BiocGenerics,Biostrings, parallel,gmapR(>= 1.7.2),GenomicFeatures(>= 1.17.13),Matrix,rtracklayer(>= 1.25.3),BiocParallel,GenomeInfoDb,BSgenome",,&nbsp;,"RUnit,LungCancerLines(>= 0.0.6),RBGL,graph","S4Vectors(>= 0.0.2),IRanges(>= 1.99.2),GenomicRanges(>= 1.17.7),VariantAnnotation(>= 1.11.16), methods",1.8.1,BioC 2.11 (R-2.15),HTSeqGenie,,
Vega,"CopyNumberVariation,Software,aCGH",,,GPL-2,,,,&nbsp;,,R (>= 2.10),1.14.0,BioC 2.8 (R-2.13),,,
