,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Suggests,Depends,Version,SystemRequirements,Imports Me,Depends On Me
gahgu133acdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu133a",,,LGPL,,,,,utils,2.2.1,,,
gahgu133aprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu133a,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu133b.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu133bcdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu133b",,,LGPL,,,,,utils,2.2.1,,,
gahgu133bprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu133b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu133plus2.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,PREDAsampledata
gahgu133plus2cdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu133plus2",,,LGPL,,,,,utils,2.2.1,,,PREDAsampledata
gahgu133plus2probe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu133plus2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu95av2.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu95av2cdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu95av2",,,LGPL,,,,,utils,2.2.1,,,
gahgu95av2probe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu95av2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu95b.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu95bcdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu95b",,,LGPL,,,,,utils,2.2.1,,,
gahgu95bprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu95b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu95c.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu95ccdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu95c",,,LGPL,,,,,utils,2.2.1,,,
gahgu95cprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu95c,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu95d.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu95dcdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu95d",,,LGPL,,,,,utils,2.2.1,,,
gahgu95dprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu95d,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
gahgu95e.db,"AnnotationData,GeneCardsCustomSchema",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.5.24)",2.2.0,,,
gahgu95ecdf,"AffymetrixChip,AnnotationData,GACustomCDF,Homo Sapiens,cdf,gahgu95e",,,LGPL,,,,,utils,2.2.1,,,
gahgu95eprobe,"AffymetrixChip,AnnotationData,GACustomCDF,Homo_sapiens,gahgu95e,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.2.2)",2.2.1,,,
genomewidesnp5Crlmm,AnnotationData,,,Artistic-2.0,,utils,oligoClasses,,,1.0.6,,,
genomewidesnp6Crlmm,AnnotationData,,,Artistic-2.0,,utils,"crlmm,oligoClasses",,,1.0.7,,,
gp53cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,gp53",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
h10kcod.db,"AnnotationData,ChipDb,CodelinkChip,Homo_sapiens,h10kcod",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.16),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
h20kcod.db,"AnnotationData,ChipDb,CodelinkChip,Homo_sapiens,h20kcod",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.16),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hapmap370k,"AnnotationData,ExperimentData",,,GPL,,,,crlmm,,1.0.1,,,
hcg110.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hcg110",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hcg110cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hcg110",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hcg110probe,"AffymetrixChip,AnnotationData,Homo_sapiens,hcg110,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgfocus.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgfocus",,,Artistic-2.0,,"methods,AnnotationDbi",gCMAPWeb,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,cheung2010
hgfocuscdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgfocus",,,LGPL,,AnnotationDbi,affycoretools,,utils,2.15.0,,,
hgfocusprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgfocus,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu133a.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu133a",,,Artistic-2.0,,"methods,AnnotationDbi","altcdfenvs,BiocCaseStudies,gage,gCMAPWeb,geneplotter,goTools,MGFM,MineICA,safe,sigPathway,topGO","annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,"DrugVsDisease,PADOG,phenoTest",Neve2006
hgu133a2.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu133a2",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,DrugVsDisease,
hgu133a2cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu133a2",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu133a2frmavecs,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133a2",,,GPL (>= 2),,,,,R (>= 2.10.0),1.0.0,,,
hgu133a2probe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133a2,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu133acdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu133a",,,LGPL,,AnnotationDbi,"affydata,altcdfenvs,AmpAffyExample,frmaTools",,utils,2.15.0,,,
hgu133afrmavecs,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133a",,,GPL (>= 2),,,"frma,frmaTools",,R (>= 2.10.0),1.3.0,,,
hgu133aprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133a,probe",,,LGPL,,,"altcdfenvs,Biostrings,frmaTools",,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu133atagcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu133atag",,,LGPL,,AnnotationDbi,"arrayMvout,frmaTools",,utils,2.15.0,,,
hgu133atagprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133atag,probe",,,LGPL,,,frmaTools,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu133b.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu133b",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu133bcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu133b",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu133bprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu133plus2.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu133plus2",,,Artistic-2.0,,"methods,AnnotationDbi","epivizr,geecc,graphite,KEGGgraph,mvGST,pcaGoPromoter,PREDAsampledata,rheumaticConditionWOLLBOLD,rtracklayer,SPIA","annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,"DeSousa2013,DrugVsDisease,PADOG","humanStemCell,maPredictDSC"
hgu133plus2cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu133plus2",,,LGPL,,AnnotationDbi,"frmaTools,prebs,PREDAsampledata,qcmetrics",,utils,2.15.0,,,
hgu133plus2frmavecs,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133plus2",,,GPL (>= 2),,,,,R (>= 2.10.0),1.3.0,,DeSousa2013,
hgu133plus2probe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu133plus2,probe",,,LGPL,,,"frmaTools,prebs",,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu219.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu219",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu219cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu219",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu219probe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu219,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95a.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95a",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,GSVAdata
hgu95acdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95a",,,LGPL,,AnnotationDbi,altcdfenvs,,utils,2.15.0,,,
hgu95aprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95a,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95av2,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95av2",,,"The Artistic License, Version 2.0",,,"AffyExpress,paxtoolsr,tkWidgets",,R (>= 2.4.0),2.2.0,,,
hgu95av2.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95av2",,,Artistic-2.0,,"methods,AnnotationDbi","a4Preproc,annaffy,annotate,AnnotationDbi,AnnotationForge,BiocCaseStudies,biocGraph,BioNet,Category,categoryCompare,ChromHeatMap,clipper,eisa,EnrichmentBrowser,estrogen,ExpressionView,genefilter,geneplotter,GOstats,GSAR,GSEABase,GSEAlm,GSRI,Heatplus,idiogram,interactiveDisplay,macat,MLInterfaces,npGSEA,pathRender,PGSEA,ReportingTools,RGalaxy,SNAGEE,SNAGEEdata,topGO","annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,keggorthology
hgu95av2cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95av2",,,LGPL,,AnnotationDbi,"affydata,AffyExpress,bgx,BiocCaseStudies,Biostrings,gcrma,paxtoolsr,vsn",,utils,2.15.0,,,
hgu95av2probe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95av2,probe",,,LGPL,,,"affypdnn,BiocCaseStudies,Biostrings,BSgenome,gcrma,maskBAD",,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95b.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95b",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu95bcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95b",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu95bprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95c.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95c",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu95ccdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95c",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu95cprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95c,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95d.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95d",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu95dcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95d",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu95dprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95d,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hgu95e.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hgu95e",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgu95ecdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hgu95e",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hgu95eprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hgu95e,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hguDKFZ31.db,"AnnotationData,ChipDb,CustomArray,Homo_sapiens",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hguatlas13k.db,"AnnotationData,ChipDb,ClontechChip,Homo_sapiens,hguatlas13k",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgubeta7.db,"AnnotationData,ChipDb,CustomArray,Homo_sapiens",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4100a.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,hgug4100a",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4101a.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,hgug4101a",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4110b.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,hgug4110b",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4111a.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,hgug4111a",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4112a.db,"AgilentChip,AnnotationData,ChipDb,Homo_sapiens,hgug4112a",,,Artistic-2.0,,"methods,AnnotationDbi","RmiR,RmiR.Hs.miRNA,RmiR.hsa","annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hgug4845a.db,"AnnotationData,Homo_sapiens,agilentChip,hgug4845a",,,Artistic-2.0,,"methods,AnnotationDbi",,annotate,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.17.27),org.Hs.eg.db(>= 2.7.1)",0.0.3,,,
hguqiagenv3.db,"AnnotationData,ChipDb,Homo_sapiens,QiagenChip,hguqiagenv3",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hi16cod.db,"AnnotationData,ChipDb,CodelinkChip,Homo_sapiens,hi16cod",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.16),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hivprtplus2cdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hivprtplus2",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hom.At.inp.db,"AnnotationData,Arabidopsis_thaliana,InparanoidDb",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Ce.inp.db,"AnnotationData,Caenorhabditis_elegans,InparanoidDb",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Dm.inp.db,"AnnotationData,Drosophila_melanogaster,InparanoidDb",,,Artistic-2.0,,"methods,AnnotationDbi",RpsiXML,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Dr.inp.db,"AnnotationData,Danio_rerio,InparanoidDb",,,Artistic-2.0,,"methods,AnnotationDbi",,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Hs.inp.db,"AnnotationData,Homo_sapiens,InparanoidDb",,,Artistic-2.0,,"methods,AnnotationDbi","annotate,AnnotationDbi,AnnotationForge,AnnotationFuncs,RpsiXML",,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Mm.inp.db,"AnnotationData,InparanoidDb,Mus_musculus",,,Artistic-2.0,,"methods,AnnotationDbi",RpsiXML,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Rn.inp.db,"AnnotationData,InparanoidDb,Rattus_norvegicus",,,Artistic-2.0,,"methods,AnnotationDbi",RpsiXML,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hom.Sc.inp.db,"AnnotationData,InparanoidDb,Saccharomyces_cerevisiae",,,Artistic-2.0,,"methods,AnnotationDbi",RpsiXML,,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15)",3.0.0,,,
hs25kresogen.db,"AnnotationData,Homo_sapiens,RNG_MRCChip,hs25kresogen",,,Artistic-2.0,,"methods,AnnotationDbi",,annotate,"R (>= 2.7.0), methods,AnnotationDbi(>= 1.13.19),org.Hs.eg.db(>= 2.5.0)",2.5.0,,,
hspeccdf,"AffymetrixChip,AnnotationData,Homo_sapiens,Hspec,cdf",,,LGPL,,AnnotationDbi,,,"R (>= 2.10), utils",0.99.1,,,
hthgu133a.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hthgu133a",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hthgu133acdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hthgu133a",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hthgu133afrmavecs,"AffymetrixChip,AnnotationData,Homo_sapiens,hthgu133a",,,GPL (>= 2),,,,,R (>= 2.10.0),1.1.0,,,
hthgu133aprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hthgu133a,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hthgu133b.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hthgu133b",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hthgu133bcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hthgu133b",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hthgu133bprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hthgu133b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hthgu133pluspmcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hthgu133pluspm",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hthgu133pluspmprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hthgu133pluspm,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
htmg430acdf,"AffymetrixChip,AnnotationData,Mus_musculus,cdf,htmg430a",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
htmg430aprobe,"AffymetrixChip,AnnotationData,Mus_musculus,htmg430a,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
htmg430bcdf,"AffymetrixChip,AnnotationData,Mus_musculus,cdf,htmg430b",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
htmg430bprobe,"AffymetrixChip,AnnotationData,Mus_musculus,htmg430b,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
htmg430pmcdf,"AffymetrixChip,AnnotationData,Mus_musculus,cdf,htmg430pm",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
htmg430pmprobe,"AffymetrixChip,AnnotationData,Mus_musculus,htmg430pm,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
htrat230pmcdf,"AffymetrixChip,AnnotationData,Rattus_norvegicus,cdf,htrat230pm",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
htrat230pmprobe,"AffymetrixChip,AnnotationData,Rattus_norvegicus,htrat230pm,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
htratfocuscdf,"AffymetrixChip,AnnotationData,Rattus_norvegicus,cdf,htratfocus",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
htratfocusprobe,"AffymetrixChip,AnnotationData,Rattus_norvegicus,htratfocus,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hu35ksuba.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hu35ksuba",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hu35ksubacdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hu35ksuba",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hu35ksubaprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hu35ksuba,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hu35ksubb.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hu35ksubb",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hu35ksubbcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hu35ksubb",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hu35ksubbprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hu35ksubb,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hu35ksubc.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hu35ksubc",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hu35ksubccdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hu35ksubc",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hu35ksubcprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hu35ksubc,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
hu35ksubd.db,"AffymetrixChip,AnnotationData,ChipDb,Homo_sapiens,hu35ksubd",,,Artistic-2.0,,"methods,AnnotationDbi",,"annotate,RUnit","R (>= 2.7.0), methods,AnnotationDbi(>= 1.27.15),org.Hs.eg.db(>= 3.0.0)",3.0.0,,,
hu35ksubdcdf,"AffymetrixChip,AnnotationData,Homo_sapiens,cdf,hu35ksubd",,,LGPL,,AnnotationDbi,,,utils,2.15.0,,,
hu35ksubdprobe,"AffymetrixChip,AnnotationData,Homo_sapiens,hu35ksubd,probe",,,LGPL,,,,,"R (>= 1.6),AnnotationDbi(>= 1.7.17)",2.15.0,,,
